state,highway,exit,latitude,longitude
AL,I59,120,33.5070445,-86.8847325
AL,I59,134,33.5859012,-86.69700209999999
AL,I59,148,33.6959905,-86.5270735
AL,I59,133,33.5794732,-86.7100146
AL,I59,113,33.42681445,-86.9556447
AL,I59,110,33.38664105,-86.9878409
AL,I59,104,33.3242654,-87.04790585
AL,I59,126B,33.5319603,-86.79960700000001
AL,I59,119A,33.4964471,-86.909469
AL,I59,143,33.66119175,-86.57404755
AL,I59,132,33.5677243,-86.72346325000001
AL,I59,166,33.86246275,-86.286969
AL,I59,156,33.7773235,-86.427199
AL,I59,154,33.768346,-86.46493849999999
AL,I59,174,33.9334536,-86.1939501
AL,I59,23,32.7012306,-88.1423312
AL,I59,1,32.453390600000006,-88.3919349
AL,I59,8,32.5230007,-88.29853705
AL,I59,17,32.626480900000004,-88.2079094
AL,I59,97,33.2496651,-87.13477979999999
AL,I59,89,33.191297,-87.25750934999999
AL,I59,73,33.1716462,-87.5245367
AL,I59,77,33.17270885000001,-87.44731505
AL,I59,86,33.18877475,-87.3014211
AL,I59,68,33.153493049999994,-87.59602755
AL,I59,76,33.173989750000004,-87.47397185
AL,I59,79,33.1745629,-87.404679
AL,I59,100,33.2790905,-87.0959975
AL,I59,62,33.08973545,-87.67622105000001
AL,I59,71B,33.17075845,-87.55005564999999
AL,I59,71A,33.16922065,-87.55481465
AL,I59,108,33.36602465,-87.00114965
AL,I59,130,33.5455563,-86.75190035
AL,I59,183,34.018744749999996,-86.0752915
AL,I59,182,34.0054673,-86.0806125
AL,I59,126A,33.527032950000006,-86.80548005
AL,I59,118,33.48519045,-86.91910014999999
AL,I59,115,33.456585000000004,-86.948586
AL,I59,112,33.4101012,-86.9704744
AL,I59,124C,33.5206905,-86.82409530000001
AL,I59,124A,33.52044,-86.8359403
AL,I59,124D,33.521635,-86.8276027
AL,I65,186,32.5495585,-86.4575935
AL,I65,34,30.953713,-87.8223505
AL,I65,37,30.964582999999998,-87.7591445
AL,I65,45,31.0194645,-87.655563
AL,I65,31,30.948968999999998,-87.857541
AL,I65,289,33.91154405,-86.86502999999999
AL,I65,284,33.8459836,-86.82659860000001
AL,I65,287,33.887674149999995,-86.8489594
AL,I65,114,31.65078935,-86.77531395
AL,I65,107,31.576942000000003,-86.84625550000001
AL,I65,130,31.850739,-86.6407895
